,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,license,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
83,BOOTSTRAP386,bootstrap386,,,,mkdocs-bootstrap386,['theme'],theming,https://gitlab.com/lramage/mkdocs-bootstrap386,,,,https://pypi.org/project/mkdocs-bootstrap386,424.0,424.0,A vintage 1980s DOS inspired Twitter Bootstrap theme for MkDocs https://lramage.gitlab.io/mkdocs-bootstrap386.,6,True,2.0,,,,lramage/mkdocs-bootstrap386,https://gitlab.com/lramage/mkdocs-bootstrap386,2018-06-06 02:30:09,3.0,4.0,3.0,37.0,1.0,2018-06-06 02:30:09.000000,,,,,,
84,Nature,nature,,,waylan/mkdocs-nature,mkdocs-nature,['theme'],theming,{},52.0,52.0,3.0,https://pypi.org/project/mkdocs-nature,1848.0,1848.0,,6,True,2.0,,,,,,,,,,,,,,,,,,
85,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,{},98.0,98.0,5.0,https://pypi.org/project/mkdocs-simple-blog,1233.0,1233.0,,6,True,2.0,,,,,,,,,,,,,,,,,,
86,Terminal for MkDocs,terminal,['terminal/md-to-html'],,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,{},173.0,173.0,4.0,https://pypi.org/project/mkdocs-terminal,4814.0,4814.0,,6,True,2.0,,,,,,,,,,,,,,,,,,
87,mkdocs-typer2,,mkdocs-typer2,,syn54x/mkdocs-typer2,mkdocs-typer2,['plugin'],api-docs,{},53.0,53.0,2.0,https://pypi.org/project/mkdocs-typer2,11156.0,11156.0,,6,True,2.0,,,,,,,,,,,,,,,,,,
88,mkdocs-autoapi,,mkdocs-autoapi,,jcayers20/mkdocs-autoapi,mkdocs-autoapi,['plugin'],api-docs,{},142.0,142.0,2.0,https://pypi.org/project/mkdocs-autoapi,24474.0,24474.0,,6,True,2.0,,,,,,,,,,,,,,,,,,
89,Publisher for MkDocs - blog,,pub-blog,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],blogging,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5818.0,5818.0,"Blogging engine with support for categories, tags and archive.",6,True,3.0,,,,,,,,,,,,,,,,,,
90,Lightgallery,,,,g-provost/lightgallery-markdown,lightgallery,['markdown'],charts,{},110.0,110.0,6.0,https://pypi.org/project/lightgallery,4024.0,4024.0,,6,True,2.0,lightgallery,,,,,,,,,,,,,,,,,
91,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,{},149.0,149.0,5.0,https://pypi.org/project/markdown-blockdiag,2549.0,2549.0,,6,True,2.0,markdown_blockdiag,,,,,,,,,,,,,,,,,
92,mkdocs-d2-plugin,,d2,,landmaj/mkdocs-d2-plugin,mkdocs-d2-plugin,['plugin'],charts,{},38.0,38.0,4.0,https://pypi.org/project/mkdocs-d2-plugin,35126.0,35126.0,,6,True,2.0,,,,,,,,,,,,,,,,,,
