,name,mkdocs_plugin,github_id,pypi_id,labels,license,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,mkdocs_theme,extra_dependencies,dependent_project_count,github_dependent_project_count,watchers_count,markdown_extension,trending,gitlab_id,gitlab_url,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
81,ezlinks,ezlinks,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],,links-refs,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-ezlinks-plugin,14843.0,14843.0,7,True,2.0,,,181.0,181.0,,,,,,,,,,,
82,mkdocs-nav-weight,mkdocs-nav-weight,shu307/mkdocs-nav-weight,mkdocs-nav-weight,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-nav-weight,44904.0,44904.0,7,True,2.0,,,138.0,138.0,,,,,,,,,,,
83,mkdocs-exporter,exporter,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],,site-conversion,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-exporter,25421.0,25421.0,7,True,2.0,,,51.0,51.0,,,,,,,,,,,
84,simple,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],,site-management,,{},,,,,,,,,,,,,,8.0,https://pypi.org/project/mkdocs-simple-plugin,33530.0,33530.0,7,True,2.0,,,64.0,64.0,,,,,,,,,,,
85,markdown-version-annotations,,glennmatthews/markdown-version-annotations,markdown-version-annotations,['markdown'],,snippets-include,,{},,,,,,,,,,,,,,,https://pypi.org/project/markdown-version-annotations,16156.0,16156.0,7,True,3.0,,,109.0,109.0,,markdown_version_annotations,,,,,,,,,
86,BOOTSTRAP386,,,mkdocs-bootstrap386,['theme'],,theming,,https://gitlab.com/lramage/mkdocs-bootstrap386,2018-06-06 02:30:09,2018-06-06 02:30:09.000000,,,3.0,,4.0,3.0,37.0,,,1.0,A vintage 1980s DOS inspired Twitter Bootstrap theme for MkDocs https://lramage.gitlab.io/mkdocs-bootstrap386.,,https://pypi.org/project/mkdocs-bootstrap386,301.0,301.0,6,True,2.0,bootstrap386,,,,,,,lramage/mkdocs-bootstrap386,https://gitlab.com/lramage/mkdocs-bootstrap386,,,,,,
87,Nature,,waylan/mkdocs-nature,mkdocs-nature,['theme'],,theming,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-nature,1607.0,1607.0,6,True,2.0,nature,,52.0,52.0,,,,,,,,,,,
88,Terminal for MkDocs,['terminal/md-to-html'],ntno/mkdocs-terminal,mkdocs-terminal,['theme'],,theming,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-terminal,3333.0,3333.0,6,True,2.0,terminal,,173.0,173.0,,,,,,,,,,,
89,Dracula,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],,theming,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/mkdocs-dracula-theme,6795.0,6795.0,6,True,2.0,dracula,,156.0,156.0,,,,,,,,,,,
90,mkdocs-typer2,mkdocs-typer2,syn54x/mkdocs-typer2,mkdocs-typer2,['plugin'],,api-docs,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-typer2,10390.0,10390.0,6,True,2.0,,,55.0,55.0,,,,,,,,,,,
91,mkdocs-autoapi,mkdocs-autoapi,jcayers20/mkdocs-autoapi,mkdocs-autoapi,['plugin'],,api-docs,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-autoapi,21144.0,21144.0,6,True,2.0,,,147.0,147.0,,,,,,,,,,,
92,Publisher for MkDocs - blog,pub-blog,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],,blogging,,{},,,,,,,,,,,,,"Blogging engine with support for categories, tags and archive.",4.0,https://pypi.org/project/mkdocs-publisher,5792.0,5792.0,6,True,3.0,,,101.0,101.0,,,,,,,,,,,
93,Lightgallery,,g-provost/lightgallery-markdown,lightgallery,['markdown'],,charts,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/lightgallery,3627.0,3627.0,6,True,2.0,,,110.0,110.0,,lightgallery,,,,,,,,,
94,Markdown blockdiag,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],,charts,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/markdown-blockdiag,2545.0,2545.0,6,True,2.0,,,149.0,149.0,,markdown_blockdiag,,,,,,,,,
