,name,markdown_extension,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,mkdocs_plugin,license,trending,extra_dependencies,mkdocs_theme,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
123,mkdocs-alias-plugin,,eddyluten/mkdocs-alias-plugin,mkdocs-alias-plugin,['plugin'],links-refs,{},40.0,40.0,6.0,https://pypi.org/project/mkdocs-alias-plugin,3600.0,3600.0,,5,True,2.0,alias,,,,,,,,,,,,,,,,,,,
124,mkpatcher,mkpatcher,ofek/mkpatcher,mkpatcher,['markdown'],markdown,{},12.0,12.0,,https://pypi.org/project/mkpatcher,1585.0,1585.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,,
125,Markdown Inline Graphviz,markdown_inline_graphviz,cesaremorel/markdown-inline-graphviz,markdown-inline-graphviz-extension,['markdown'],markdown,{},,,9.0,https://pypi.org/project/markdown-inline-graphviz-extension,83706.0,83706.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,,
126,schema-reader,,magicaljellybeans/mkdocs_schema_reader,mkdocs-schema-reader,['plugin'],nav-pages,{},,,3.0,https://pypi.org/project/mkdocs-schema-reader,4017.0,4017.0,,5,True,2.0,schema_reader,MIT,,,,,,,,,,,,,,,,,,
127,mkdocs-categories-plugin,,eddyluten/mkdocs-categories-plugin,mkdocs-categories-plugin,['plugin'],nav-pages,{},24.0,24.0,,https://pypi.org/project/mkdocs-categories-plugin,2529.0,2529.0,,5,True,2.0,categories,,,,,,,,,,,,,,,,,,,
128,file-filter,,DariuszPorowski/mkdocs-file-filter-plugin,mkdocs-file-filter-plugin,['plugin'],nav-pages,{},18.0,18.0,4.0,https://pypi.org/project/mkdocs-file-filter-plugin,3142.0,3142.0,,5,True,2.0,file-filter,,,,,,,,,,,,,,,,,,,
129,include directory to navigation,,mysiki/mkdocs_include_dir_to_nav,mkdocs-include-dir-to-nav,['plugin'],nav-pages,{},,,,https://pypi.org/project/mkdocs-include-dir-to-nav,64509.0,64509.0,,5,True,2.0,include_dir_to_nav,,,,,,,,,,,,,,,,,,,
130,mkdocs-breadcrumbs-plugin,,mihaigalos/mkdocs-breadcrumbs-plugin,mkdocs-breadcrumbs-plugin,['plugin'],nav-pages,{},13.0,13.0,5.0,https://pypi.org/project/mkdocs-breadcrumbs-plugin,1657.0,1657.0,,5,True,2.0,mkdocs-breadcrumbs-plugin,,,,,,,,,,,,,,,,,,,
131,mkdocs-code-validator,,oprypin/mkdocs-code-validator,mkdocs-code-validator,['plugin'],quality,{},21.0,21.0,,https://pypi.org/project/mkdocs-code-validator,1322.0,1322.0,,5,True,2.0,code-validator,,,,,,,,,,,,,,,,,,,
132,mktestdocs,,koaning/mktestdocs,mktestdocs,[],quality,{},,,6.0,https://pypi.org/project/mktestdocs,69282.0,69282.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,,
133,MkDocs-Test,,fralau/mkdocs-test,mkdocs-test,['plugin'],quality,{},,,3.0,https://pypi.org/project/mkdocs-test,3502.0,3502.0,,5,True,2.0,test,MIT,,,,,,,,,,,,,,,,,,
134,mkdocs-task-collector,,costantinoai/mkdocs-task-collector,mkdocs-task-collector,['plugin'],search-toc,{},5.0,5.0,2.0,https://pypi.org/project/mkdocs-task-collector,188661.0,188661.0,,5,True,2.0,task-collector,,,,,,,,,,,,,,,,,,,
135,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,{},,,17.0,https://pypi.org/project/mkdocs-print-site-plugin,208938.0,208938.0,,5,True,2.0,print-site,,,,,,,,,,,,,,,,,,,
136,pdf-with-js,,smaxtec/mkdocs-pdf-with-js-plugin,mkdocs-pdf-with-js-plugin,['plugin'],site-conversion,{},13.0,13.0,4.0,https://pypi.org/project/mkdocs-pdf-with-js-plugin,1290.0,1290.0,,5,True,2.0,pdf-with-js,,,,,,,,,,,,,,,,,,,
137,mkdocs-pandoc,,jgrassler/mkdocs-pandoc,mkdocs-pandoc,[],site-conversion,{},78.0,78.0,4.0,https://pypi.org/project/mkdocs-pandoc,541.0,541.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,,
138,no-sitemap,,leonardehrenfried/mkdocs-no-sitemap-plugin,mkdocs-no-sitemap-plugin,['plugin'],site-management,{},56.0,56.0,2.0,https://pypi.org/project/mkdocs-no-sitemap-plugin,2350.0,2350.0,,5,True,2.0,no-sitemap,,,,,,,,,,,,,,,,,,,
139,Mdx Include,mdx_include,neurobin/mdx_include,mdx-include,['markdown'],snippets-include,{},,,3.0,https://pypi.org/project/mdx-include,126718.0,126718.0,,5,True,3.0,,,,,,,,,,,,,,,,,,,,
140,mkdocs-typer,mkdocs-typer,bruce-szalwinski/mkdocs-typer,mkdocs-typer,['markdown'],api-docs,{},,,,https://pypi.org/project/mkdocs-typer,22893.0,22893.0,,4,True,3.0,,,,,,,,,,,,,,,,,,,,
141,mkdocstrings-crystal,,mkdocstrings/crystal,mkdocstrings-crystal,,api-docs,{},,,3.0,https://pypi.org/project/mkdocstrings-crystal,18338.0,18338.0,,4,True,3.0,,,,,,,,,,,,,,,,,,,,
142,mkdocs-material-adr,,Kl0ven/mkdocs-material-adr,mkdocs-material-adr,['plugin'],api-docs,{},12.0,12.0,2.0,https://pypi.org/project/mkdocs-material-adr,4882.0,4882.0,,4,True,3.0,mkdocs-material-adr/adr,,,,,,,,,,,,,,,,,,,
143,charts,,timvink/mkdocs-charts-plugin,mkdocs-charts-plugin,['plugin'],charts,{},,,5.0,https://pypi.org/project/mkdocs-charts-plugin,25977.0,25977.0,,4,True,3.0,charts,,,,,,,,,,,,,,,,,,,
144,drawio-exporter,,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,{},,,5.0,https://pypi.org/project/mkdocs-drawio-exporter,10876.0,10876.0,,4,True,3.0,drawio-exporter,,,,,,,,,,,,,,,,,,,
145,markdownwavedrom,,kuri65536/mkdocs-wavedrom-plugin,mkdocs-wavedrom-plugin,['plugin'],charts,{},16.0,16.0,,https://pypi.org/project/mkdocs-wavedrom-plugin,230.0,230.0,,4,True,3.0,markdownwavedrom,,,,,,,,,,,,,,,,,,,
146,oEmbedPy,,attakei/oEmbedPy,oEmbedPy,['plugin'],charts,https://oembedpy.readthedocs.io/en/stable/integrations/mkdocs/,17.0,17.0,2.0,https://pypi.org/project/oEmbedPy,865.0,865.0,MkDocs plugin to render rich contents from URL by oEmbed API.,4,True,3.0,oembedpy,,,,,,,,,,,,,,,,,,,
147,nbconvert,,tanbro/mkdocs-nbconvert,mkdocs-nbconvert,['plugin'],code-exec-templating,{},11.0,11.0,5.0,https://pypi.org/project/mkdocs-nbconvert,648.0,648.0,,4,True,3.0,nbconvert,,,,,,,,,,,,,,,,,,,
148,mkdocs_protobuf,,rymurr/mkdocs-protobuf,mkdocs-protobuf,['plugin'],code-exec-templating,{},,,2.0,https://pypi.org/project/mkdocs-protobuf,4093.0,4093.0,Mkdocs plugin to render protobuf messages.,4,True,3.0,mkdocs_protobuf,Apache-2,,,,,,,,,,,,,,,,,,
149,Termynal,,termynal/termynal.py,termynal,['plugin'],code-exec-templating,{},,,8.0,https://pypi.org/project/termynal,37953.0,37953.0,,4,True,3.0,termynal,,,,,,,,,,,,,,,,,,,
150,branchcustomization,,effigies/mkdocs-branchcustomization-plugin,mkdocs-branchcustomization-plugin,['plugin'],git-info,{},28.0,28.0,,https://pypi.org/project/mkdocs-branchcustomization-plugin,827.0,827.0,,4,True,3.0,branchcustomization,,,,,,,,,,,,,,,,,,,
151,Github-Links,mdx_gh_links,Python-Markdown/github-links,mdx-gh-links,['markdown'],git-info,{},,,5.0,https://pypi.org/project/mdx-gh-links,20197.0,20197.0,,4,True,3.0,,,,,,,,,,,,,,,,,,,,
152,toggle-sidebar,,six-two/mkdocs-toggle-sidebar-plugin,mkdocs-toggle-sidebar-plugin,['plugin'],html-css,{},,,3.0,https://pypi.org/project/mkdocs-toggle-sidebar-plugin,11789.0,11789.0,,4,True,3.0,toggle-sidebar,,,,,,,,,,,,,,,,,,,
153,mkdocs-link-embeds,,Aetherinox/mkdocs-link-embeds,mkdocs-link-embeds-plugin,['plugin'],html-css,{},11.0,11.0,,https://pypi.org/project/mkdocs-link-embeds-plugin,304.0,304.0,,4,True,3.0,link-embeds,,,,,,,,,,,,,,,,,,,
154,mkdocs-ai-summary,,AIboy996/mkdocs-ai-summary,mkdocs-ai-summary,['plugin'],html-css,https://aiboy996.github.io/mkdocs-ai-summary/,4.0,4.0,,https://pypi.org/project/mkdocs-ai-summary,97.0,97.0,,4,True,3.0,ai-summary,MIT,,,,,,,,,,,,,,,,,,
155,MkDocs Backend for Foliant,,foliant-docs/foliantcontrib.mkdocs,foliantcontrib.mkdocs,[],integrations,{},35.0,35.0,5.0,https://pypi.org/project/foliantcontrib.mkdocs,287.0,287.0,,4,True,3.0,,,,,,,,,,,,,,,,,,,,
